CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
148 "06F ANTHRACITE NK728788" 65.000381 40.999466 51.500725 84.499886 20.300603 -2.699219 0.898438
149 "01P DK STEEL GREY NK728788" 52.500191 42.499428 48.499275 36.000610 45.699245 0.898438 4.601563
150 "01V WOLF GREY NK728788" 33.499657 26.999313 31.000229 10.000763 70.800336 0.300781 2.199219
151 "20Q DARK CINDER NK728788" 26.999313 60.000000 82.999924 88.499275 18.699931 8.699219 12.300781
152 "2DH MEDIUM OLIVE NK728788(2)" 23.999390 8.499275 68.499275 70.499733 41.399252 -3.101563 25.000000
153 "31W CLASSIC GREEN NK728788" 79.000534 8.999771 87.499809 25.999847 46.799420 -35.898438 24.199219
154 "39Y GORGE GREEN NK728788" 89.500267 6.500343 91.500725 72.500191 26.599527 -25.300781 12.500000
155 "4EY VALOR BLUE NK728788" 58.500038 21.499962 2.999924 11.000229 62.999924 -8.000000 -26.898438
156 "4ES AERO BLUE NK728788" 91.999695 8.499275 20.999466 8.000305 51.999695 -37.601563 -28.699219
157 "41S COLLEGE NAVY NK728788" 100.000000 74.000153 17.000076 80.999466 16.000610 2.300781 -13.601563
158 "44A TIDAL BLUE NK728788" 81.499962 2.000458 28.999771 5.999847 57.700465 -38.699219 -16.699219
159 "45W BLUSTERY NK728788" 91.000229 0.000000 60.000000 13.000687 49.700160 -48.300781 1.898438
160 "4EV GAME ROYAL NK728788" 92.500191 55.500114 12.500191 11.999695 39.099718 -6.800781 -34.300781
161 "56N FIELD PURPLE NK728788" 85.499351 88.000305 0.999466 11.999695 29.199664 21.398438 -37.898438
162 "66Z PINK FIRE II NK728788" 20.500496 74.999619 2.000458 0.000000 55.500114 49.500000 -12.500000
163 "65N UNI RED NK728788" 5.000381 99.000534 80.999466 25.000381 40.700389 58.101563 31.500000
164 "66P DEEP MAROON NK728788" 41.499962 99.000534 68.000305 71.999695 19.800107 22.500000 7.800781
165 "69W TM CRIMSON NK728788(2)" 2.000458 93.000687 76.000610 54.500649 30.499733 41.699219 22.699219
166 "69X TEAM MAROON NK728788" 8.999771 98.500038 62.000458 66.999313 25.099565 34.601563 14.398438
167 "79S YELLOW STRIKE NK728788" 0.000000 5.000381 85.999847 0.000000 91.299306 -0.199219 80.898438
168 "79W TEAM GOLD NK728788" 13.499657 19.499504 48.999771 2.000458 80.700389 4.000000 31.000000
169 "79Q SUNDOWN NK728788" 0.000000 34.000153 99.000534 2.000458 75.800717 21.699219 78.699219
170 "81F DESERT ORANGE NK728788" 16.000610 76.000610 93.000687 37.000076 51.999695 55.000000 59.000000
171 "89L TEAM ORANGE NK728788" 5.499351 88.000305 97.000076 0.000000 51.000229 60.398438 46.800781
172 "87F BRIGHT CERAMIC NK728788" 0.000000 56.499580 100.000000 0.000000 65.200275 40.199219 67.500000
173 "79V CLUB GOLD NK728788" 25.000381 40.000000 66.999313 6.900130 76.000610 17.000000 54.000000
174 "76I UNIVERSITY GOLD NK728788" 0.000000 34.500649 97.999542 2.000458 75.800717 21.699219 78.699219
175 "10F TM WHITE T42043" 0.000000 0.000000 0.000000 0.000000 100.000000 0.500000 0.500000
176 "03S TM BLACK T42043" 89.509422 1.000992 42.000458 99.000534 13.499657 -10.000000 -4.500000
177 "03T TM BLUE GREY T42043" 34.509804 25.999847 28.999771 5.999847 70.899519 -0.101563 1.699219
178 "05X TM ANTHRACITE T42043" 62.510109 42.999924 50.000763 79.000534 20.799573 -2.101563 0.398438
179 "2AQ TM BROWN T42043" 26.999313 68.999771 85.000381 89.999237 21.699855 9.500000 14.800781
180 "49V TM ROYAL T42043" 96.000610 58.999008 11.000229 14.000153 38.300145 -7.199219 -36.699219
181 "3EM TM KELLY GREEN T42043" 79.000534 10.200656 82.499428 29.001297 48.700694 -36.398438 24.898438
182 "43V TM NAVY T42043" 97.000076 74.999619 24.000916 82.000458 14.599832 1.300781 -11.800781
183 "4CV TM LIGHT BLUE T42043" 57.999542 18.999008 0.500496 9.509422 62.000458 -7.398438 -29.000000
184 "45W TM BLUSTERY T42043" 93.000687 0.000000 60.509651 20.000000 50.800336 -48.101563 1.601563
185 "4ES TM AERO BLUE T42043" 94.000153 12.001221 21.998932 11.000229 54.000153 -37.300781 -29.699219
186 "52V TM PURPLE T42043" 88.000305 88.000305 0.999466 14.509804 30.000763 21.699219 -38.199219
